name,phone,whatsapp_link,status
Trippy Goat Cafe,+919731655707,"https://wa.me/+919731655707?text=Hi%20Trippy%20Goat%20Cafe,%0AWe%20have%20an%20exciting%20website%20for%20your%20cafe!%0ACheck%20it%20out",ready_to_send
The Studio Cafe,+917892512445,"https://wa.me/+917892512445?text=Hi%20The%20Studio%20Cafe,%0AWe%20have%20an%20exciting%20website%20for%20your%20cafe!%0ACheck%20it%20out",ready_to_send
Makkah Cafe,+917019579745,"https://wa.me/+917019579745?text=Hi%20Makkah%20Cafe,%0AWe%20have%20an%20exciting%20website%20for%20your%20cafe!%0ACheck%20it%20out",ready_to_send
Burnout Cafe,+918088682319,"https://wa.me/+918088682319?text=Hi%20Burnout%20Cafe,%0AWe%20have%20an%20exciting%20website%20for%20your%20cafe!%0ACheck%20it%20out",ready_to_send
Cafe Down The Alley,+917406048982,"https://wa.me/+917406048982?text=Hi%20Cafe%20Down%20The%20Alley,%0AWe%20have%20an%20exciting%20website%20for%20your%20cafe!%0ACheck%20it%20out",ready_to_send
Brahmins' Coffee Bar,+919845030234,"https://wa.me/+919845030234?text=Hi%20Brahmins'%20Coffee%20Bar,%0AWe%20have%20an%20exciting%20website%20for%20your%20cafe!%0ACheck%20it%20out",ready_to_send
Cafe Hustle,+919686855008,"https://wa.me/+919686855008?text=Hi%20Cafe%20Hustle,%0AWe%20have%20an%20exciting%20website%20for%20your%20cafe!%0ACheck%20it%20out",ready_to_send
Top Ace Cafe,+918147494747,"https://wa.me/+918147494747?text=Hi%20Top%20Ace%20Cafe,%0AWe%20have%20an%20exciting%20website%20for%20your%20cafe!%0ACheck%20it%20out",ready_to_send
Cafe Noir Indiranagar,+919620007974,"https://wa.me/+919620007974?text=Hi%20Cafe%20Noir%20Indiranagar,%0AWe%20have%20an%20exciting%20website%20for%20your%20cafe!%0ACheck%20it%20out",ready_to_send
The Cafe At Saanchi - Authentic Persian Cuisine & Silk Route Aroma - Dining Experience,+916366204909,"https://wa.me/+916366204909?text=Hi%20The%20Cafe%20At%20Saanchi%20-%20Authentic%20Persian%20Cuisine%20&%20Silk%20Route%20Aroma%20-%20Dining%20Experience,%0AWe%20have%20an%20exciting%20website%20for%20your%20cafe!%0ACheck%20it%20out",ready_to_send
Board 4 Bored - A Board Game Cafe Bangalore,+919606173535,"https://wa.me/+919606173535?text=Hi%20Board%204%20Bored%20-%20A%20Board%20Game%20Cafe%20Bangalore,%0AWe%20have%20an%20exciting%20website%20for%20your%20cafe!%0ACheck%20it%20out",ready_to_send
Iris Cafe Hsr,+918041566935,"https://wa.me/+918041566935?text=Hi%20Iris%20Cafe%20Hsr,%0AWe%20have%20an%20exciting%20website%20for%20your%20cafe!%0ACheck%20it%20out",ready_to_send
Secret Spot Cafe,+918971285555,"https://wa.me/+918971285555?text=Hi%20Secret%20Spot%20Cafe,%0AWe%20have%20an%20exciting%20website%20for%20your%20cafe!%0ACheck%20it%20out",ready_to_send
Cafe Terra,+918041631800,"https://wa.me/+918041631800?text=Hi%20Cafe%20Terra,%0AWe%20have%20an%20exciting%20website%20for%20your%20cafe!%0ACheck%20it%20out",ready_to_send
Cafe Medley,+918041160865,"https://wa.me/+918041160865?text=Hi%20Cafe%20Medley,%0AWe%20have%20an%20exciting%20website%20for%20your%20cafe!%0ACheck%20it%20out",ready_to_send
Bengaluru Cafe,+918296199994,"https://wa.me/+918296199994?text=Hi%20Bengaluru%20Cafe,%0AWe%20have%20an%20exciting%20website%20for%20your%20cafe!%0ACheck%20it%20out",ready_to_send
Lazy Suzy,+918073032246,"https://wa.me/+918073032246?text=Hi%20Lazy%20Suzy,%0AWe%20have%20an%20exciting%20website%20for%20your%20cafe!%0ACheck%20it%20out",ready_to_send
The Green Door Coffee House,+919740393173,"https://wa.me/+919740393173?text=Hi%20The%20Green%20Door%20Coffee%20House,%0AWe%20have%20an%20exciting%20website%20for%20your%20cafe!%0ACheck%20it%20out",ready_to_send
Tea Lounge Cafe,+918660458825,"https://wa.me/+918660458825?text=Hi%20Tea%20Lounge%20Cafe,%0AWe%20have%20an%20exciting%20website%20for%20your%20cafe!%0ACheck%20it%20out",ready_to_send
Cafe Arena,+917411420121,"https://wa.me/+917411420121?text=Hi%20Cafe%20Arena,%0AWe%20have%20an%20exciting%20website%20for%20your%20cafe!%0ACheck%20it%20out",ready_to_send
